"participants","msi_score","register","condition","response","instrument"
1,76,"low","LRSE",3,"Violin"
1,76,"low","MRSE",2,"Violin"
1,76,"low","HRSE",2,"Violin"
1,76,"low","congr.",3,"Violin"
1,76,"mid","LRSE",5,"Violin"
1,76,"mid","MRSE",4,"Violin"
1,76,"mid","HRSE",2,"Violin"
1,76,"mid","congr.",4,"Violin"
1,76,"high","LRSE",5,"Violin"
1,76,"high","MRSE",2,"Violin"
1,76,"high","HRSE",2,"Violin"
1,76,"high","congr.",6,"Violin"
2,70,"low","LRSE",3,"Violin"
2,70,"low","MRSE",4,"Violin"
2,70,"low","HRSE",2,"Violin"
2,70,"low","congr.",4,"Violin"
2,70,"mid","LRSE",5,"Violin"
2,70,"mid","MRSE",5,"Violin"
2,70,"mid","HRSE",2,"Violin"
2,70,"mid","congr.",5,"Violin"
2,70,"high","LRSE",3,"Violin"
2,70,"high","MRSE",5,"Violin"
2,70,"high","HRSE",4,"Violin"
2,70,"high","congr.",5,"Violin"
3,82,"low","LRSE",2,"Violin"
3,82,"low","MRSE",3,"Violin"
3,82,"low","HRSE",3,"Violin"
3,82,"low","congr.",4,"Violin"
3,82,"mid","LRSE",3,"Violin"
3,82,"mid","MRSE",3,"Violin"
3,82,"mid","HRSE",2,"Violin"
3,82,"mid","congr.",3,"Violin"
3,82,"high","LRSE",1,"Violin"
3,82,"high","MRSE",4,"Violin"
3,82,"high","HRSE",2,"Violin"
3,82,"high","congr.",5,"Violin"
4,79,"low","LRSE",3,"Violin"
4,79,"low","MRSE",2,"Violin"
4,79,"low","HRSE",1,"Violin"
4,79,"low","congr.",1,"Violin"
4,79,"mid","LRSE",4,"Violin"
4,79,"mid","MRSE",4,"Violin"
4,79,"mid","HRSE",3,"Violin"
4,79,"mid","congr.",2,"Violin"
4,79,"high","LRSE",5,"Violin"
4,79,"high","MRSE",5,"Violin"
4,79,"high","HRSE",6,"Violin"
4,79,"high","congr.",6,"Violin"
5,74,"low","LRSE",1,"Violin"
5,74,"low","MRSE",1,"Violin"
5,74,"low","HRSE",2,"Violin"
5,74,"low","congr.",1,"Violin"
5,74,"mid","LRSE",4,"Violin"
5,74,"mid","MRSE",3,"Violin"
5,74,"mid","HRSE",1,"Violin"
5,74,"mid","congr.",2,"Violin"
5,74,"high","LRSE",5,"Violin"
5,74,"high","MRSE",6,"Violin"
5,74,"high","HRSE",6,"Violin"
5,74,"high","congr.",6,"Violin"
6,80,"low","LRSE",1,"Violin"
6,80,"low","MRSE",1,"Violin"
6,80,"low","HRSE",1,"Violin"
6,80,"low","congr.",1,"Violin"
6,80,"mid","LRSE",2.25,"Violin"
6,80,"mid","MRSE",2.25,"Violin"
6,80,"mid","HRSE",1,"Violin"
6,80,"mid","congr.",2.25,"Violin"
6,80,"high","LRSE",2.25,"Violin"
6,80,"high","MRSE",2.25,"Violin"
6,80,"high","HRSE",2.25,"Violin"
6,80,"high","congr.",2.25,"Violin"
7,48,"low","LRSE",1,"Violin"
7,48,"low","MRSE",1,"Violin"
7,48,"low","HRSE",1,"Violin"
7,48,"low","congr.",1,"Violin"
7,48,"mid","LRSE",1,"Violin"
7,48,"mid","MRSE",1,"Violin"
7,48,"mid","HRSE",1,"Violin"
7,48,"mid","congr.",1,"Violin"
7,48,"high","LRSE",4,"Violin"
7,48,"high","MRSE",1,"Violin"
7,48,"high","HRSE",4,"Violin"
7,48,"high","congr.",1,"Violin"
8,86,"low","LRSE",1,"Violin"
8,86,"low","MRSE",1,"Violin"
8,86,"low","HRSE",1,"Violin"
8,86,"low","congr.",1,"Violin"
8,86,"mid","LRSE",2,"Violin"
8,86,"mid","MRSE",1,"Violin"
8,86,"mid","HRSE",2,"Violin"
8,86,"mid","congr.",2,"Violin"
8,86,"high","LRSE",1,"Violin"
8,86,"high","MRSE",1,"Violin"
8,86,"high","HRSE",3,"Violin"
8,86,"high","congr.",1,"Violin"
9,68,"low","LRSE",1,"Violin"
9,68,"low","MRSE",1,"Violin"
9,68,"low","HRSE",1,"Violin"
9,68,"low","congr.",1,"Violin"
9,68,"mid","LRSE",3.5,"Violin"
9,68,"mid","MRSE",3.5,"Violin"
9,68,"mid","HRSE",3.5,"Violin"
9,68,"mid","congr.",3.5,"Violin"
9,68,"high","LRSE",3.5,"Violin"
9,68,"high","MRSE",3.5,"Violin"
9,68,"high","HRSE",3.5,"Violin"
9,68,"high","congr.",3.5,"Violin"
10,67,"low","LRSE",2.25,"Violin"
10,67,"low","MRSE",2.25,"Violin"
10,67,"low","HRSE",2.25,"Violin"
10,67,"low","congr.",2.25,"Violin"
10,67,"mid","LRSE",3.5,"Violin"
10,67,"mid","MRSE",3.5,"Violin"
10,67,"mid","HRSE",2.25,"Violin"
10,67,"mid","congr.",3.5,"Violin"
10,67,"high","LRSE",1,"Violin"
10,67,"high","MRSE",4.75,"Violin"
10,67,"high","HRSE",4.75,"Violin"
10,67,"high","congr.",3.5,"Violin"
11,68,"low","LRSE",6,"Violin"
11,68,"low","MRSE",1,"Violin"
11,68,"low","HRSE",1,"Violin"
11,68,"low","congr.",1,"Violin"
11,68,"mid","LRSE",6,"Violin"
11,68,"mid","MRSE",6,"Violin"
11,68,"mid","HRSE",1,"Violin"
11,68,"mid","congr.",6,"Violin"
11,68,"high","LRSE",1,"Violin"
11,68,"high","MRSE",1,"Violin"
11,68,"high","HRSE",6,"Violin"
11,68,"high","congr.",1,"Violin"
12,92,"low","LRSE",2,"Violin"
12,92,"low","MRSE",4,"Violin"
12,92,"low","HRSE",4,"Violin"
12,92,"low","congr.",4,"Violin"
12,92,"mid","LRSE",4,"Violin"
12,92,"mid","MRSE",5,"Violin"
12,92,"mid","HRSE",4,"Violin"
12,92,"mid","congr.",5,"Violin"
12,92,"high","LRSE",4,"Violin"
12,92,"high","MRSE",4,"Violin"
12,92,"high","HRSE",5,"Violin"
12,92,"high","congr.",5,"Violin"
13,52,"low","LRSE",4.75,"Violin"
