participant,response,condition,f0,pc1,pc2
1,6,congruent,454.593999418035,-20,0
1,6,congruent,454.593999418035,-15,0
1,6,congruent,454.593999418035,-10,0
1,1,congruent,185.305916853689,-5,0
1,4,congruent,330.177607577543,0,0
1,1,congruent,270.303209272735,5,0
1,2,congruent,174.614115716502,10,0
1,2,congruent,225.898373346687,15,0
1,3,congruent,225.898373346687,20,0
1,1,congruent,95.2487323366731,0,-15
1,1,congruent,95.2487323366731,0,-10
1,2,congruent,134.702049069368,0,-5
1,4,congruent,330.177607577543,0,0
1,5,congruent,380.994929346692,0,5
1,5,congruent,440.734229549018,0,10
1,5,congruent,403.650066780848,0,15
1,6,incongruent,261.625565300599,-20,0
1,2,incongruent,261.625565300599,-15,0
1,2,incongruent,261.625565300599,-10,0
1,6,incongruent,659.255113825741,-5,0
1,4,incongruent,369.994422711635,0,0
1,4,incongruent,440.000000000001,5,0
1,5,incongruent,698.456462866009,10,0
1,4,incongruent,554.365261953745,15,0
1,5,incongruent,554.365261953745,20,0
1,6,incongruent,1244.50793488833,0,-15
1,6,incongruent,1244.50793488833,0,-10
1,6,incongruent,880.000000000001,0,-5
1,3,incongruent,369.994422711635,0,0
1,5,incongruent,311.126983722081,0,5
1,3,incongruent,277.182630976873,0,10
1,4,incongruent,293.664767917408,0,15
1,3,fixed,293.664767917408,-20,0
1,3,fixed,293.664767917408,-15,0
1,4,fixed,293.664767917408,-10,0
1,3,fixed,293.664767917408,-5,0
1,4,fixed,293.664767917408,0,0
1,3,fixed,293.664767917408,5,0
1,3,fixed,293.664767917408,10,0
1,4,fixed,293.664767917408,15,0
1,3,fixed,293.664767917408,20,0
1,3,fixed,293.664767917408,0,-15
1,3,fixed,293.664767917408,0,-10
1,4,fixed,293.664767917408,0,-5
1,3,fixed,293.664767917408,0,0
1,4,fixed,293.664767917408,0,5
1,4,fixed,293.664767917408,0,10
1,5,fixed,293.664767917408,0,15
2,4.75,congruent,454.593999418035,-20,0
2,4.75,congruent,454.593999418035,-15,0
2,4.75,congruent,454.593999418035,-10,0
2,4.75,congruent,185.305916853689,-5,0
2,2.25,congruent,330.177607577543,0,0
2,2.25,congruent,270.303209272735,5,0
2,1,congruent,174.614115716502,10,0
2,2.25,congruent,225.898373346687,15,0
2,1,congruent,225.898373346687,20,0
2,4.75,congruent,95.2487323366731,0,-15
2,4.75,congruent,95.2487323366731,0,-10
2,3.5,congruent,134.702049069368,0,-5
2,3.5,congruent,330.177607577543,0,0
2,4.75,congruent,380.994929346692,0,5
2,3.5,congruent,440.734229549018,0,10
2,4.75,congruent,403.650066780848,0,15
2,4.75,incongruent,261.625565300599,-20,0
2,4.75,incongruent,261.625565300599,-15,0
2,4.75,incongruent,261.625565300599,-10,0
2,3.5,incongruent,659.255113825741,-5,0
2,2.25,incongruent,369.994422711635,0,0
2,3.5,incongruent,440.000000000001,5,0
2,2.25,incongruent,698.456462866009,10,0
2,2.25,incongruent,554.365261953745,15,0
2,2.25,incongruent,554.365261953745,20,0
2,3.5,incongruent,1244.50793488833,0,-15
2,3.5,incongruent,1244.50793488833,0,-10
2,4.75,incongruent,880.000000000001,0,-5
2,2.25,incongruent,369.994422711635,0,0
2,3.5,incongruent,311.126983722081,0,5
2,4.75,incongruent,277.182630976873,0,10
2,3.5,incongruent,293.664767917408,0,15
2,6,fixed,293.664767917408,-20,0
2,4.75,fixed,293.664767917408,-15,0
2,4.75,fixed,293.664767917408,-10,0
2,2.25,fixed,293.664767917408,-5,0
2,2.25,fixed,293.664767917408,0,0
2,1,fixed,293.664767917408,5,0
2,1,fixed,293.664767917408,10,0
2,1,fixed,293.664767917408,15,0
2,2.25,fixed,293.664767917408,20,0
2,3.5,fixed,293.664767917408,0,-15
2,3.5,fixed,293.664767917408,0,-10
2,3.5,fixed,293.664767917408,0,-5
2,2.25,fixed,293.664767917408,0,0
2,3.5,fixed,293.664767917408,0,5
2,3.5,fixed,293.664767917408,0,10
2,4.75,fixed,293.664767917408,0,15
3,4.75,congruent,454.593999418035,-20,0
3,4.75,congruent,454.593999418035,-15,0
3,3.5,congruent,454.593999418035,-10,0
3,2.25,congruent,185.305916853689,-5,0
3,3.5,congruent,330.177607577543,0,0
3,3.5,congruent,270.303209272735,5,0
3,2.25,congruent,174.614115716502,10,0
3,2.25,congruent,225.898373346687,15,0
3,2.25,congruent,225.898373346687,20,0
3,1,congruent,95.2487323366731,0,-15
3,1,congruent,95.2487323366731,0,-10
3,1,congruent,134.702049069368,0,-5
3,3.5,congruent,330.177607577543,0,0
3,3.5,congruent,380.994929346692,0,5
3,4.75,congruent,440.734229549018,0,10
3,6,congruent,403.650066780848,0,15
3,4.75,incongruent,261.625565300599,-20,0
3,4.75,incongruent,261.625565300599,-15,0
3,4.75,incongruent,261.625565300599,-10,0
3,4.75,incongruent,659.255113825741,-5,0
3,3.5,incongruent,369.994422711635,0,0
3,3.5,incongruent,440.000000000001,5,0
3,4.75,incongruent,698.456462866009,10,0
3,4.75,incongruent,554.365261953745,15,0
3,4.75,incongruent,554.365261953745,20,0
3,6,incongruent,1244.50793488833,0,-15
3,6,incongruent,1244.50793488833,0,-10
3,6,incongruent,880.000000000001,0,-5
3,2.25,incongruent,369.994422711635,0,0
3,3.5,incongruent,311.126983722081,0,5
3,2.25,incongruent,277.182630976873,0,10
3,3.5,incongruent,293.664767917408,0,15
3,4.75,fixed,293.664767917408,-20,0
3,4.75,fixed,293.664767917408,-15,0
3,4.75,fixed,293.664767917408,-10,0
3,4.75,fixed,293.664767917408,-5,0
3,3.5,fixed,293.664767917408,0,0
3,2.25,fixed,293.664767917408,5,0
3,2.25,fixed,293.664767917408,10,0
3,2.25,fixed,293.664767917408,15,0
3,2.25,fixed,293.664767917408,20,0
3,3.5,fixed,293.664767917408,0,-15
3,2.25,fixed,293.664767917408,0,-10
3,3.5,fixed,293.664767917408,0,-5
3,3.5,fixed,293.664767917408,0,0
3,3.5,fixed,293.664767917408,0,5
3,2.25,fixed,293.664767917408,0,10
3,4.75,fixed,293.664767917408,0,15
4,5,congruent,454.593999418035,-20,0
4,5,congruent,454.593999418035,-15,0
4,5,congruent,454.593999418035,-10,0
4,3,congruent,185.305916853689,-5,0
4,4,congruent,330.177607577543,0,0
4,4,congruent,270.303209272735,5,0
4,1,congruent,174.614115716502,10,0
4,1,congruent,225.898373346687,15,0
4,2,congruent,225.898373346687,20,0
4,1,congruent,95.2487323366731,0,-15
4,2,congruent,95.2487323366731,0,-10
4,2,congruent,134.702049069368,0,-5
4,4,congruent,330.177607577543,0,0
4,4,congruent,380.994929346692,0,5
