browser,version,GMT_timestamp,local_timestamp,link,completionCode
Chrome,97.0.4692.99,2022-02-04_19:28:19,2022-02-04_20:28:19,https://www.testable.org/experiment/4346/744843/start,qyywQIpK77xsZpkz

rowNo,type,stim1,stimFormat,ITI,condition1,head,trialText,button1,button2,button3,button4,button5,button6,key,random,waitStimEnd,responseType,responseOptions,required,if,then,label,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
6,form,"","","","",I have taken note of the information and agree to participate in this study.,"1",Continue,"","","","","","","","",radio,Yes,"1","","","",,"","",146919,Yes,16749,"0","1"
14,test,HugginsPitch_set2_2,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","2","","1","","","",incorrect,failedCheck,startHPCheck,800,47,"17.02",250354,"2",3779,"1",""
15,test,HugginsPitch_set3_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","",incorrect,failedCheck,"",800,48,"16.67",258185,"3",1809,"1",""
16,test,HugginsPitch_set4_1,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","1","","1","","","",incorrect,failedCheck,"",800,48,"16.66",265570,"1",1338,"1",""
17,test,HugginsPitch_set5_2,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","2","","1","","","",incorrect,failedCheck,"",800,48,"16.67",272993,"2",1382,"1",""
18,test,HugginsPitch_set6_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","",incorrect,failedCheck,"",799,48,"16.67",280325,"3",1366,"1",""
19,test,HugginsPitch_set1_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","",incorrect,failedCheck,"",800,48,"16.67",287498,"3",1213,"1",""
71,test,congruentF0_49,.wav,"800","","",Please rate the sound quality.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very pleasant,"","1","1","","","","","","",801,48,"16.67",339819,"3",6752,"",""
131,test,incongruentF0_28,.wav,"800","","",Please rate the sound quality.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very pleasant,"","1","1","","","","","","",800,48,"16.67",345077,"3",3836,"",""
109,test,incongruentF0_6,.wav,"800","","",Please rate the sound quality.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very pleasant,"","1","1","","","","","","",800,48,"16.65",349347,"2",2839,"",""
120,test,incongruentF0_17,.wav,"800","","",Please rate the sound quality.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very pleasant,"","1","1","","","","","","",801,48,"16.67",352504,"4",1713,"",""
87,test,congruentF0_65,.wav,"800","","",Please rate the sound quality.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very pleasant,"","1","1","","","","","","",801,48,"16.67",355307,"1",1377,"",""
77,test,congruentF0_55,.wav,"800","","",Please rate the sound quality.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very pleasant,"","1","1","","","","","","",800,48,"16.68",359861,"5",3128,"",""
62,test,congruentF0_40,.wav,"800","","",Please rate the sound quality.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very pleasant,"","1","1","","","","","","",800,48,"16.67",362995,"6",1704,"",""
90,test,congruentF0_68,.wav,"800","","",Please rate the sound quality.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very pleasant,"","1","1","","","","","","",800,48,"16.66",365753,"1",1284,"",""
