browser,version,GMT_timestamp,local_timestamp,trial_file_version,link,completionCode,duration_s
Chrome,107.0.0.0,2022-11-23_07:22:32,2022-11-23_08:22:32,2022-11-22_13:56:43,https://www.testable.org/experiment/4346/924090/start,UbkBYjAE5VkR2RIx,1613.551

rowNo,type,stim1,stimFormat,ITI,condition1,head,trialText,button1,button2,button3,button4,button5,button6,key,random,waitStimEnd,randomBlock,responseType,responseOptions,required,if,then,label,responseOther,body,pageBreak,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
6,form,"","","","",I have taken note of the information and agree to participate in this study.,"",Continue,"","","","","","","","","",radio,Yes,"1","","","","","","",,"","",201211,Yes,7513,"0","1"
16,test,HugginsPitch_set2_2,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","2","","1","","","","",incorrect,failedCheck,startHPCheck,"","","",799,48,"16.65",287445,"2",1223,"1",""
17,test,HugginsPitch_set3_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","","",incorrect,failedCheck,"","","","",799,48,"16.65",294737,"3",1228,"1",""
18,test,HugginsPitch_set4_1,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","1","","1","","","","",incorrect,failedCheck,"","","","",799,48,"16.65",301615,"1",803,"1",""
19,test,HugginsPitch_set5_2,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","2","","1","","","","",incorrect,failedCheck,"","","","",799,48,"16.65",308569,"2",927,"1",""
20,test,HugginsPitch_set6_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.66",315417,"3",764,"1",""
21,test,HugginsPitch_set1_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","","",incorrect,failedCheck,"","","","",799,48,"16.65",322178,"3",707,"1",""
200,test,ClarinetBb_mid_D6,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",799,48,"16.65",360881,"4",5994,"",""
184,test,ClarinetBb_low_FIS2,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",799,48,"16.65",365047,"3",2633,"",""
175,test,ClarinetBb_low_AIS5,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",799,48,"16.65",370049,"4",3496,"",""
