browser,version,GMT_timestamp,local_timestamp,trial_file_version,link,completionCode,duration_s
Chrome,107.0.0.0,2022-11-29_20:51:54,2022-11-29_21:51:54,2022-11-22_13:56:43,https://www.testable.org/experiment/4346/924090/start,zAz7Ro4qihTNapFY,1964.301

rowNo,type,stim1,stimFormat,ITI,condition1,head,trialText,button1,button2,button3,button4,button5,button6,key,random,waitStimEnd,randomBlock,responseType,responseOptions,required,if,then,label,responseOther,body,pageBreak,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
6,form,"","","","",I have taken note of the information and agree to participate in this study.,"",Continue,"","","","","","","","","",radio,Yes,"1","","","","","","",,"","",114933,Yes,5634,"0","1"
16,test,HugginsPitch_set2_2,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","2","","1","","","","",incorrect,failedCheck,startHPCheck,"","","",800,48,"16.66",218569,"2",1043,"1",""
17,test,HugginsPitch_set3_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.67",225720,"3",1078,"1",""
18,test,HugginsPitch_set4_1,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","1","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.67",232468,"1",719,"1",""
19,test,HugginsPitch_set5_2,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","2","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.67",239497,"2",998,"1",""
20,test,HugginsPitch_set6_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","","",incorrect,failedCheck,"","","","",801,48,"16.68",248958,"3",3407,"1",""
21,test,HugginsPitch_set1_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.67",255686,"3",723,"1",""
120,test,VocalAlto_low_FIS7,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",801,48,"16.68",305076,"1",3857,"",""
98,test,VocalAlto_all_D5,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.67",310136,"4",3548,"",""
110,test,VocalAlto_low_D4,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.67",314094,"4",2447,"",""
158,test,VocalAlto_hig_FIS7,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.67",320218,"2",4648,"",""
139,test,VocalAlto_mid_FIS7,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.66",323792,"3",2079,"",""
97,test,VocalAlto_all_D4,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.68",327200,"4",1928,"",""
129,test,VocalAlto_mid_D4,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.67",329655,"4",953,"",""
128,test,VocalAlto_mid_D3,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",801,48,"16.68",333782,"4",2618,"",""
138,test,VocalAlto_mid_FIS6,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.66",336914,"3",1640,"",""
104,test,VocalAlto_low_AIS3,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",799,48,"16.66",339762,"5",1347,"",""
150,test,VocalAlto_hig_D6,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.67",342614,"3",1358,"",""
154,test,VocalAlto_hig_FIS3,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.67",345788,"2",1669,"",""
125,test,VocalAlto_mid_AIS5,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.66",350399,"3",3082,"",""
114,test,VocalAlto_low_FIS1,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.67",353692,"2",1784,"",""
96,test,VocalAlto_all_AIS4,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.66",356384,"5",1204,"",""
103,test,VocalAlto_low_AIS2,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.66",358996,"3",1103,"",""
132,test,VocalAlto_mid_D7,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.67",361506,"1",1015,"",""
112,test,VocalAlto_low_D6,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.67",364431,"2",1388,"",""
153,test,VocalAlto_hig_FIS2,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.67",367258,"1",1361,"",""
111,test,VocalAlto_low_D5,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.67",369742,"5",1002,"",""
146,test,VocalAlto_hig_D2,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.66",373194,"2",1955,"",""
127,test,VocalAlto_mid_D2,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.66",375776,"2",1109,"",""
141,test,VocalAlto_hig_AIS2,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.67",377876,"2",629,"",""
124,test,VocalAlto_mid_AIS4,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",801,48,"16.68",380971,"3",1623,"",""
140,test,VocalAlto_hig_AIS1,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.67",383641,"1",1183,"",""
109,test,VocalAlto_low_D3,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.67",386356,"5",1196,"",""
107,test,VocalAlto_low_AIS6,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",801,48,"16.68",389256,"3",1415,"",""
137,test,VocalAlto_mid_FIS5,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",799,48,"16.64",393072,"4",2330,"",""
122,test,VocalAlto_mid_AIS2,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",801,48,"16.68",396070,"5",1505,"",""
155,test,VocalAlto_hig_FIS4,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.66",399076,"2",1478,"",""
101,test,VocalAlto_all_FIS5,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.67",401808,"5",1202,"",""
99,test,VocalAlto_all_FIS3,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",801,48,"16.68",404060,"5",764,"",""
116,test,VocalAlto_low_FIS3,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",801,48,"16.68",406105,"5",568,"",""
147,test,VocalAlto_hig_D3,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",801,48,"16.68",410714,"3",3127,"",""
115,test,VocalAlto_low_FIS2,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",799,48,"16.65",414896,"3",2665,"",""
143,test,VocalAlto_hig_AIS4,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.67",417644,"2",1204,"",""
131,test,VocalAlto_mid_D6,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.67",420802,"3",1670,"",""
118,test,VocalAlto_low_FIS5,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.66",423484,"4",1168,"",""
117,test,VocalAlto_low_FIS4,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.67",426644,"6",1628,"",""
130,test,VocalAlto_mid_D5,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",799,48,"16.64",429960,"2",1845,"",""
156,test,VocalAlto_hig_FIS5,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",799,48,"16.65",432540,"5",1072,"",""
126,test,VocalAlto_mid_AIS6,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.67",435760,"4",1724,"",""
102,test,VocalAlto_low_AIS1,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.67",438436,"3",1168,"",""
144,test,VocalAlto_hig_AIS5,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.67",441530,"3",1603,"",""
151,test,VocalAlto_hig_D7,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","2","","","","","","","","","",800,48,"16.66",446506,"2",3473,"",""
