browser,version,GMT_timestamp,local_timestamp,trial_file_version,link,completionCode,duration_s
Chrome,107.0.0.0,2022-12-06_13:31:33,2022-12-06_14:31:33,2022-11-22_13:56:43,https://www.testable.org/experiment/4346/924090/start,4KJuY4rN4miR2N4X,1165.171

rowNo,type,stim1,stimFormat,ITI,condition1,head,trialText,button1,button2,button3,button4,button5,button6,key,random,waitStimEnd,randomBlock,responseType,responseOptions,required,if,then,label,responseOther,body,pageBreak,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
6,form,"","","","",I have taken note of the information and agree to participate in this study.,"",Continue,"","","","","","","","","",radio,Yes,"1","","","","","","",,"","",26675,Yes,3212,"0","1"
16,test,HugginsPitch_set2_2,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","2","","1","","","","",incorrect,failedCheck,startHPCheck,"","","",800,48,"16.67",76163,"2",1609,"1",""
17,test,HugginsPitch_set3_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.67",82556,"3",424,"1",""
18,test,HugginsPitch_set4_1,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","1","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.67",90354,"1",1853,"1",""
19,test,HugginsPitch_set5_2,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","2","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.67",99978,"1",3696,"0",""
16_2,test,HugginsPitch_set2_2,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","2","","1","","","","",incorrect,failedCheck,startHPCheck,"","","",800,48,"16.66",113154,"2",540,"1",""
17_2,test,HugginsPitch_set3_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.67",119554,"3",541,"1",""
18_2,test,HugginsPitch_set4_1,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","1","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.67",125898,"1",484,"1",""
19_2,test,HugginsPitch_set5_2,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","2","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.66",132306,"2",541,"1",""
20,test,HugginsPitch_set6_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.67",139050,"3",755,"1",""
21,test,HugginsPitch_set1_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.67",145658,"3",682,"1",""
161,test,ClarinetBb_all_AIS4,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",208428,"5",5986,"",""
213,test,ClarinetBb_hig_AIS5,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",210913,"5",1077,"",""
208,test,ClarinetBb_mid_FIS7,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",213561,"3",1225,"",""
200,test,ClarinetBb_mid_D6,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",215849,"5",852,"",""
186,test,ClarinetBb_low_FIS4,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",217881,"5",614,"",""
182,test,ClarinetBb_low_D7,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",219993,"3",696,"",""
225,test,ClarinetBb_hig_FIS5,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",221961,"5",558,"",""
191,test,ClarinetBb_mid_AIS2,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",224571,"4",1198,"",""
198,test,ClarinetBb_mid_D4,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",226513,"5",530,"",""
210,test,ClarinetBb_hig_AIS2,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",229561,"4",1638,"",""
214,test,ClarinetBb_hig_AIS6,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",231561,"5",588,"",""
180,test,ClarinetBb_low_D5,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",233481,"5",498,"",""
216,test,ClarinetBb_hig_D3,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",236065,"4",1161,"",""
167,test,ClarinetBb_all_FIS3,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",238849,"5",1325,"",""
172,test,ClarinetBb_low_AIS2,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",240937,"5",643,"",""
202,test,ClarinetBb_mid_FIS1,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",245065,"4",2721,"",""
226,test,ClarinetBb_hig_FIS6,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",247545,"5",1061,"",""
206,test,ClarinetBb_mid_FIS5,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",249273,"5",321,"",""
190,test,ClarinetBb_mid_AIS1,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",250969,"5",296,"",""
162,test,ClarinetBb_all_AIS5,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",253465,"5",1092,"",""
203,test,ClarinetBb_mid_FIS2,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",255313,"5",440,"",""
160,test,ClarinetBb_all_AIS3,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",257137,"5",404,"",""
204,test,ClarinetBb_mid_FIS3,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",258745,"5",202,"",""
211,test,ClarinetBb_hig_AIS3,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",260409,"5",236,"",""
174,test,ClarinetBb_low_AIS4,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",261985,"5",171,"",""
179,test,ClarinetBb_low_D4,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",263745,"5",351,"",""
173,test,ClarinetBb_low_AIS3,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",265425,"5",291,"",""
163,test,ClarinetBb_all_D3,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",267337,"5",503,"",""
195,test,ClarinetBb_mid_AIS6,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",270009,"3",1264,"",""
187,test,ClarinetBb_low_FIS5,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","3","","","","","","","","","",800,48,"16.67",272529,"5",1126,"",""
