participants,register,condition,response
1,low,LRSE,6
1,low,MRSE,6
1,low,HRSE,6
1,low,congr.,6
1,mid,LRSE,4
1,mid,MRSE,5
1,mid,HRSE,4
1,mid,congr.,5
1,high,LRSE,4
1,high,MRSE,2
1,high,HRSE,3
1,high,congr.,5
2,low,LRSE,6
2,low,MRSE,6
2,low,HRSE,6
2,low,congr.,6
2,mid,LRSE,6
2,mid,MRSE,5
2,mid,HRSE,6
2,mid,congr.,6
2,high,LRSE,4
2,high,MRSE,4
2,high,HRSE,4
2,high,congr.,4
3,low,LRSE,5
3,low,MRSE,5
3,low,HRSE,4
3,low,congr.,6
3,mid,LRSE,4
3,mid,MRSE,4
3,mid,HRSE,4
3,mid,congr.,6
3,high,LRSE,4
3,high,MRSE,4
3,high,HRSE,5
3,high,congr.,5
4,low,LRSE,4
4,low,MRSE,3
4,low,HRSE,3
4,low,congr.,3
4,mid,LRSE,5
4,mid,MRSE,5
4,mid,HRSE,4
4,mid,congr.,5
4,high,LRSE,5
4,high,MRSE,4
4,high,HRSE,4
4,high,congr.,4
5,low,LRSE,6
5,low,MRSE,6
5,low,HRSE,5
5,low,congr.,5
5,mid,LRSE,6
5,mid,MRSE,6
5,mid,HRSE,5
5,mid,congr.,5
5,high,LRSE,3
5,high,MRSE,4
5,high,HRSE,5
5,high,congr.,4
6,low,LRSE,6
6,low,MRSE,6
6,low,HRSE,6
6,low,congr.,6
6,mid,LRSE,4.75
6,mid,MRSE,4.75
6,mid,HRSE,3.5
6,mid,congr.,4.75
6,high,LRSE,3.5
6,high,MRSE,3.5
6,high,HRSE,2.25
6,high,congr.,3.5
7,low,LRSE,4
7,low,MRSE,4
7,low,HRSE,4
7,low,congr.,4
7,mid,LRSE,5
7,mid,MRSE,4
7,mid,HRSE,5
7,mid,congr.,4
7,high,LRSE,5
7,high,MRSE,5
7,high,HRSE,5
7,high,congr.,5
8,low,LRSE,5
8,low,MRSE,5
8,low,HRSE,5
8,low,congr.,5
8,mid,LRSE,4
8,mid,MRSE,5
8,mid,HRSE,5
8,mid,congr.,5
8,high,LRSE,4
8,high,MRSE,3
8,high,HRSE,4
8,high,congr.,4
9,low,LRSE,6
9,low,MRSE,6
9,low,HRSE,6
9,low,congr.,6
9,mid,LRSE,6
9,mid,MRSE,6
9,mid,HRSE,6
9,mid,congr.,6
9,high,LRSE,3.5
9,high,MRSE,3.5
9,high,HRSE,3.5
9,high,congr.,3.5
10,low,LRSE,3.5
10,low,MRSE,3.5
10,low,HRSE,4.75
10,low,congr.,4.75
10,mid,LRSE,4.75
10,mid,MRSE,4.75
10,mid,HRSE,4.75
10,mid,congr.,4.75
10,high,LRSE,4.75
10,high,MRSE,3.5
10,high,HRSE,4.75
10,high,congr.,4.75
11,low,LRSE,6
11,low,MRSE,6
11,low,HRSE,6
11,low,congr.,6
11,mid,LRSE,6
11,mid,MRSE,6
11,mid,HRSE,6
11,mid,congr.,6
11,high,LRSE,1
11,high,MRSE,6
11,high,HRSE,1
11,high,congr.,6
12,low,LRSE,1
12,low,MRSE,1
12,low,HRSE,1
12,low,congr.,1
12,mid,LRSE,3
12,mid,MRSE,2
12,mid,HRSE,3
12,mid,congr.,2
12,high,LRSE,6
12,high,MRSE,5
12,high,HRSE,6
12,high,congr.,2
13,low,LRSE,4.75
13,low,MRSE,3.5
13,low,HRSE,3.5
13,low,congr.,3.5
13,mid,LRSE,2.25
13,mid,MRSE,4.75
13,mid,HRSE,3.5
13,mid,congr.,4.75
13,high,LRSE,3.5
13,high,MRSE,2.25
13,high,HRSE,2.25
13,high,congr.,2.25
14,low,LRSE,6
14,low,MRSE,6
14,low,HRSE,6
14,low,congr.,6
14,mid,LRSE,6
14,mid,MRSE,6
14,mid,HRSE,6
14,mid,congr.,6
14,high,LRSE,6
14,high,MRSE,6
14,high,HRSE,6
14,high,congr.,3.5
15,low,LRSE,6
15,low,MRSE,6
15,low,HRSE,5
15,low,congr.,6
15,mid,LRSE,5
15,mid,MRSE,6
15,mid,HRSE,4
15,mid,congr.,6
15,high,LRSE,4
15,high,MRSE,4
15,high,HRSE,3
15,high,congr.,4
16,low,LRSE,6
16,low,MRSE,6
16,low,HRSE,6
16,low,congr.,6
16,mid,LRSE,4
16,mid,MRSE,6
16,mid,HRSE,6
16,mid,congr.,6
16,high,LRSE,2
16,high,MRSE,3
16,high,HRSE,3
16,high,congr.,3
17,low,LRSE,5
17,low,MRSE,5
