browser,version,GMT_timestamp,local_timestamp,trial_file_version,link,completionCode,duration_s
Chrome,108.0.0.0,2022-12-07_10:17:13,2022-12-07_11:17:13,2022-11-22_13:56:43,https://www.testable.org/experiment/4346/924090/start,JNrUAnAejoCBKJW5,2383.504

rowNo,type,stim1,stimFormat,ITI,condition1,head,trialText,button1,button2,button3,button4,button5,button6,key,random,waitStimEnd,randomBlock,responseType,responseOptions,required,if,then,label,responseOther,body,pageBreak,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"6",form,"","","","",I have taken note of the information and agree to participate in this study.,"",Continue,"","","","","","","","","",radio,Yes,"1","","","","","","",,"","",79229,Yes,4383,"0","1"
"16",test,HugginsPitch_set2_2,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","2","","1","","","","",incorrect,failedCheck,startHPCheck,"","","",800,48,"16.67",159421,"2",1325,"1",""
"17",test,HugginsPitch_set3_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.67",166463,"3",1052,"1",""
"18",test,HugginsPitch_set4_1,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","1","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.66",173319,"1",878,"1",""
"19",test,HugginsPitch_set5_2,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","2","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.67",180099,"2",798,"1",""
"20",test,HugginsPitch_set6_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.67",187152,"3",1089,"1",""
"21",test,HugginsPitch_set1_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.67",193850,"3",763,"1",""
"91",test,Violin_hig_FIS5,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","1","","","","","","","","","",800,48,"16.66",232639,"3",3944,"",""
"75",test,Violin_hig_AIS1,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","1","","","","","","","","","",800,48,"16.66",238673,"2",4618,"",""
"30",test,Violin_all_D5,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","1","","","","","","","","","",800,48,"16.67",241800,"5",1667,"",""
"81",test,Violin_hig_D2,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","1","","","","","","","","","",800,48,"16.67",245694,"3",2471,"",""
"70",test,Violin_mid_FIS3,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","1","","","","","","","","","",800,48,"16.67",249940,"2",2825,"",""
"38",test,Violin_low_AIS2,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","1","","","","","","","","","",800,48,"16.66",254884,"4",3528,"",""
"82",test,Violin_hig_D3,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","1","","","","","","","","","",800,48,"16.67",258795,"2",2486,"",""
