browser,version,GMT_timestamp,local_timestamp,link,completionCode
Firefox,"96.0",2022-02-06_16:01:56,2022-02-06_17:01:56,https://www.testable.org/experiment/4346/744843/start,SGBbnrF6Qu7pJj6J

rowNo,type,stim1,stimFormat,ITI,condition1,head,trialText,button1,button2,button3,button4,button5,button6,key,random,waitStimEnd,responseType,responseOptions,required,if,then,label,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
6,form,"","","","",I have taken note of the information and agree to participate in this study.,"1",Continue,"","","","","","","","",radio,Yes,"1","","","",,"","",594030,Yes,2755,"0","1"
14,test,HugginsPitch_set2_2,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","2","","1","","","",incorrect,failedCheck,startHPCheck,800,49,"16.33",766055,"2",1450,"1",""
15,test,HugginsPitch_set3_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","",incorrect,failedCheck,"",800,48,"16.67",773142,"3",1099,"1",""
16,test,HugginsPitch_set4_1,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","1","","1","","","",incorrect,failedCheck,"",800,49,"16.33",779679,"1",556,"1",""
17,test,HugginsPitch_set5_2,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","2","","1","","","",incorrect,failedCheck,"",800,48,"16.67",786631,"2",932,"1",""
18,test,HugginsPitch_set6_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","",incorrect,failedCheck,"",800,48,"16.67",793310,"3",697,"1",""
19,test,HugginsPitch_set1_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","",incorrect,failedCheck,"",800,48,"16.67",800079,"3",654,"1",""
126,test,incongruentF0_23,.wav,"800","","",Please rate the sound quality.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very pleasant,"","1","1","","","","","","",800,48,"16.67",1153534,"4",7720,"",""
102,test,congruentF0_80,.wav,"800","","",Please rate the sound quality.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very pleasant,"","1","1","","","","","","",800,48,"16.67",1156110,"3",1162,"",""
35,test,congruentF0_13,.wav,"800","","",Please rate the sound quality.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very pleasant,"","1","1","","","","","","",800,49,"16.33",1158478,"5",931,"",""
46,test,congruentF0_24,.wav,"800","","",Please rate the sound quality.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very pleasant,"","1","1","","","","","","",800,48,"16.67",1161262,"5",1339,"",""
