browser,version,GMT_timestamp,local_timestamp,link,completionCode
Safari,"15.3",2022-03-11_09:56:03,2022-03-11_10:56:03,https://www.testable.org/experiment/4346/744843/start,cIt392VBbopcoavU

rowNo,type,stim1,stimFormat,ITI,condition1,head,trialText,button1,button2,button3,button4,button5,button6,key,random,waitStimEnd,responseType,responseOptions,required,if,then,label,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
6,form,"","","","",I have taken note of the information and agree to participate in this study.,"1",Continue,"","","","","","","","",radio,Yes,"1","","","",,"","",21552,Yes,4719,"0","1"
14,test,HugginsPitch_set2_2,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","2","","1","","","",incorrect,failedCheck,startHPCheck,800,48,"16.67",79839,"2",2867,"1",""
15,test,HugginsPitch_set3_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","",incorrect,failedCheck,"",800,48,"16.67",87571,"3",1428,"1",""
16,test,HugginsPitch_set4_1,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","1","","1","","","",incorrect,failedCheck,"",800,48,"16.67",95022,"1",1124,"1",""
17,test,HugginsPitch_set5_2,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","2","","1","","","",incorrect,failedCheck,"",801,48,"16.67",104421,"2",3092,"1",""
18,test,HugginsPitch_set6_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","",incorrect,failedCheck,"",800,48,"16.67",112855,"3",2122,"1",""
19,test,HugginsPitch_set1_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","",incorrect,failedCheck,"",800,48,"16.67",119705,"3",543,"1",""
60,test,congruentF0_38,.wav,"800","","",Please rate the sound quality.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very pleasant,"","1","1","","","","","","",800,48,"16.67",190724,"3",10157,"",""
37,test,congruentF0_15,.wav,"800","","",Please rate the sound quality.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very pleasant,"","1","1","","","","","","",800,48,"16.69",198690,"2",6007,"",""
181,test,incongruentF0_78,.wav,"800","","",Please rate the sound quality.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very pleasant,"","1","1","","","","","","",800,48,"16.67",206742,"4",6281,"",""
91,test,congruentF0_69,.wav,"800","","",Please rate the sound quality.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very pleasant,"","1","1","","","","","","",800,48,"16.67",211692,"1",3172,"",""
