browser,version,GMT_timestamp,local_timestamp,trial_file_version,link,completionCode,duration_s
Chrome,107.0.0.0,2022-11-22_15:54:11,2022-11-22_16:54:11,2022-11-22_13:56:43,https://www.testable.org/experiment/4346/924090/start,wZlnjeMLQ5FhOfv4,2347.383

rowNo,type,stim1,stimFormat,ITI,condition1,head,trialText,button1,button2,button3,button4,button5,button6,key,random,waitStimEnd,randomBlock,responseType,responseOptions,required,if,then,label,responseOther,body,pageBreak,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
6,form,"","","","",I have taken note of the information and agree to participate in this study.,"",Continue,"","","","","","","","","",radio,Yes,"1","","","","","","",,"","",253488,Yes,4585,"0","1"
16,test,HugginsPitch_set2_2,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","2","","1","","","","",incorrect,failedCheck,startHPCheck,"","","",800,48,"16.66",329134,"2",1621,"1",""
17,test,HugginsPitch_set3_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.66",336545,"3",1429,"1",""
18,test,HugginsPitch_set4_1,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","1","","1","","","","",incorrect,failedCheck,"","","","",800,47,"17.02",344394,"1",1830,"1",""
19,test,HugginsPitch_set5_2,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","2","","1","","","","",incorrect,failedCheck,"","","","",800,47,"17.02",351519,"2",942,"1",""
20,test,HugginsPitch_set6_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","","",incorrect,failedCheck,"","","","",800,40,"20.00",360724,"2",3148,"0",""
16_2,test,HugginsPitch_set2_2,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","2","","1","","","","",incorrect,failedCheck,startHPCheck,"","","",800,47,"17.02",432593,"3",6922,"0",""
16_3,test,HugginsPitch_set2_2,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","2","","1","","","","",incorrect,failedCheck,startHPCheck,"","","",800,48,"16.66",444909,"2",1279,"1",""
17_2,test,HugginsPitch_set3_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.66",451838,"3",964,"1",""
18_2,test,HugginsPitch_set4_1,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","1","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.66",459178,"1",1396,"1",""
19_2,test,HugginsPitch_set5_2,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","2","","1","","","","",incorrect,failedCheck,"","","","",1166,2,"583.23",466151,"2",1146,"1",""
20_2,test,HugginsPitch_set6_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.66",473808,"3",1686,"1",""
21,test,HugginsPitch_set1_3,.mp3,"800",HPCheck,Calibration,In which of theses sounds is the faint beep?,"1","2","3","","","","3","","1","","","","",incorrect,failedCheck,"","","","",800,48,"16.66",481260,"3",1422,"1",""
92,test,Violin_hig_FIS6,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","1","","","","","","","","","",800,48,"16.66",541753,"3",3213,"",""
76,test,Violin_hig_AIS2,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","1","","","","","","","","","",800,48,"16.66",544692,"3",1432,"",""
