participant,score,space,condition,f0
1,2,inner,congruent,640.8
1,3,inner,congruent,2253.9
1,3,inner,congruent,403.7
1,3,inner,congruent,320.4
1,5,inner,congruent,277.2
1,3,inner,congruent,623.3
1,1,inner,congruent,480
1,3,inner,congruent,719.2
1,4,inner,congruent,302.4
1,3,inner,congruent,233.1
1,3,inner,congruent,570.8
1,2,inner,congruent,938.6
1,3,inner,congruent,442
1,3,inner,congruent,185
1,4,inner,congruent,207.7
1,3,inner,congruent,381
1,3,inner,congruent,540.6
1,3,inner,congruent,246.9
1,3,inner,congruent,298.1
1,2,inner,congruent,87.5
1,5,inner,congruent,381
1,4,inner,congruent,416
1,4,inner,congruent,330.2
1,4,inner,congruent,588
1,3,inner,congruent,134.7
1,4,inner,congruent,415.3
1,6,inner,congruent,454.6
1,4,inner,congruent,132.8
1,4,inner,congruent,142.3
1,3,inner,congruent,95.6
1,4,inner,congruent,201.8
1,4,inner,congruent,315.8
1,4,inner,congruent,56.5
1,3,inner,congruent,131.4
1,4,inner,congruent,134.7
1,4,inner,congruent,170.3
1,3,inner,congruent,186.2
1,3,inner,congruent,169.7
1,3,inner,congruent,67.4
1,2,inner,congruent,84.9
1,4,inner,congruent,197.3
1,4,inner,congruent,169.7
1,5,inner,congruent,169.7
1,3,inner,congruent,93.9
1,4,inner,congruent,69.4
1,2,outer,congruent,591.3
1,2,outer,congruent,640.8
1,1,outer,congruent,640.8
1,2,outer,congruent,823.5
1,3,outer,congruent,623.3
1,3,outer,congruent,709
1,3,outer,congruent,440.7
1,2,outer,congruent,403.7
1,4,outer,congruent,179.8
1,4,outer,congruent,201.8
1,4,outer,congruent,226.5
1,4,outer,congruent,187.8
1,4,outer,congruent,197.3
1,5,outer,congruent,226.5
1,3,outer,congruent,320.4
1,3,outer,congruent,320.4
1,2,outer,congruent,226.5
1,3,outer,congruent,320.4
1,2,outer,congruent,171.4
1,3,outer,congruent,207.7
1,3,outer,congruent,95.2
1,3,outer,congruent,114.4
1,4,outer,congruent,106.9
1,3,outer,congruent,114.4
1,3,outer,congruent,77.9
1,4,outer,congruent,77.9
1,3,outer,congruent,77.9
1,3,outer,congruent,147.1
1,2,outer,congruent,360.8
1,2,outer,congruent,508.6
1,3,outer,congruent,320.4
1,2,outer,congruent,508.6
1,5,outer,congruent,179.8
1,5,outer,congruent,197.3
1,4,outer,congruent,174.6
1,4,outer,congruent,218.1
1,2,inner,incongruent,185
1,3,inner,incongruent,55
1,3,inner,incongruent,293.7
1,3,inner,incongruent,370
1,4,inner,incongruent,440
1,3,inner,incongruent,196
1,3,inner,incongruent,246.9
1,3,inner,incongruent,164.8
1,4,inner,incongruent,392
1,3,inner,incongruent,523.3
1,3,inner,incongruent,207.7
1,2,inner,incongruent,130.8
1,4,inner,incongruent,277.2
1,3,inner,incongruent,659.3
1,2,inner,incongruent,587.3
1,3,inner,incongruent,311.1
1,3,inner,incongruent,220
1,3,inner,incongruent,493.9
1,4,inner,incongruent,415.3
1,4,inner,incongruent,1396.9
1,3,inner,incongruent,311.1
1,2,inner,incongruent,293.7
1,3,inner,incongruent,370
1,3,inner,incongruent,207.7
1,4,inner,incongruent,880
1,4,inner,incongruent,293.7
1,3,inner,incongruent,261.6
1,4,inner,incongruent,932.3
1,4,inner,incongruent,880
1,4,inner,incongruent,1244.5
1,4,inner,incongruent,587.3
1,5,inner,incongruent,392
1,1,inner,incongruent,2217.5
1,4,inner,incongruent,932.3
1,3,inner,incongruent,880
1,4,inner,incongruent,698.5
1,5,inner,incongruent,659.3
1,4,inner,incongruent,698.5
1,5,inner,incongruent,1760
1,4,inner,incongruent,1396.9
1,4,inner,incongruent,622.3
1,3,inner,incongruent,698.5
1,4,inner,incongruent,698.5
1,4,inner,incongruent,1318.5
1,5,inner,incongruent,1760
1,2,outer,incongruent,207.7
1,2,outer,incongruent,185
1,2,outer,incongruent,185
1,2,outer,incongruent,146.8
1,2,outer,incongruent,196
1,1,outer,incongruent,174.6
1,3,outer,incongruent,277.2
1,2,outer,incongruent,293.7
1,3,outer,incongruent,659.3
1,3,outer,incongruent,587.3
1,4,outer,incongruent,523.3
1,3,outer,incongruent,659.3
1,4,outer,incongruent,622.3
1,4,outer,incongruent,523.3
1,3,outer,incongruent,370
1,3,outer,incongruent,370
1,3,outer,incongruent,523.3
1,3,outer,incongruent,370
1,4,outer,incongruent,698.5
1,5,outer,incongruent,587.3
1,4,outer,incongruent,1244.5
1,3,outer,incongruent,1046.5
1,5,outer,incongruent,1108.7
1,4,outer,incongruent,1046.5
1,5,outer,incongruent,1568
1,4,outer,incongruent,1568
1,4,outer,incongruent,1568
1,4,outer,incongruent,830.6
1,3,outer,incongruent,329.6
1,2,outer,incongruent,233.1
1,3,outer,incongruent,370
1,2,outer,incongruent,233.1
1,5,outer,incongruent,659.3
1,5,outer,incongruent,622.3
1,4,outer,incongruent,698.5
1,5,outer,incongruent,554.4
1,2,inner,fixed,293.7
1,3,inner,fixed,293.7
1,2,inner,fixed,293.7
1,2,inner,fixed,293.7
1,3,inner,fixed,293.7
1,3,inner,fixed,293.7
1,3,inner,fixed,293.7
1,2,inner,fixed,293.7
1,2,inner,fixed,293.7
1,3,inner,fixed,293.7
1,3,inner,fixed,293.7
1,3,inner,fixed,293.7
1,3,inner,fixed,293.7
1,3,inner,fixed,293.7
1,3,inner,fixed,293.7
1,3,inner,fixed,293.7
1,4,inner,fixed,293.7
1,4,inner,fixed,293.7
1,4,inner,fixed,293.7
1,3,inner,fixed,293.7
1,4,inner,fixed,293.7
1,4,inner,fixed,293.7
1,3,inner,fixed,293.7
1,3,inner,fixed,293.7
1,3,inner,fixed,293.7
1,4,inner,fixed,293.7
1,5,inner,fixed,293.7
1,5,inner,fixed,293.7
1,4,inner,fixed,293.7
1,3,inner,fixed,293.7
1,4,inner,fixed,293.7
1,5,inner,fixed,293.7
1,4,inner,fixed,293.7
1,4,inner,fixed,293.7
1,4,inner,fixed,293.7
1,4,inner,fixed,293.7
1,5,inner,fixed,293.7
1,5,inner,fixed,293.7
1,4,inner,fixed,293.7
1,4,inner,fixed,293.7
1,5,inner,fixed,293.7
1,4,inner,fixed,293.7
1,4,inner,fixed,293.7
1,5,inner,fixed,293.7
1,4,inner,fixed,293.7
1,2,outer,fixed,293.7
1,1,outer,fixed,293.7
1,1,outer,fixed,293.7
1,2,outer,fixed,293.7
1,2,outer,fixed,293.7
1,2,outer,fixed,293.7
1,3,outer,fixed,293.7
1,2,outer,fixed,293.7
1,4,outer,fixed,293.7
1,6,outer,fixed,293.7
1,5,outer,fixed,293.7
1,4,outer,fixed,293.7
1,5,outer,fixed,293.7
1,5,outer,fixed,293.7
1,3,outer,fixed,293.7
1,2,outer,fixed,293.7
1,2,outer,fixed,293.7
1,3,outer,fixed,293.7
1,3,outer,fixed,293.7
1,3,outer,fixed,293.7
1,3,outer,fixed,293.7
1,3,outer,fixed,293.7
1,3,outer,fixed,293.7
1,3,outer,fixed,293.7
1,5,outer,fixed,293.7
1,4,outer,fixed,293.7
1,5,outer,fixed,293.7
1,4,outer,fixed,293.7
1,2,outer,fixed,293.7
1,2,outer,fixed,293.7
1,2,outer,fixed,293.7
1,2,outer,fixed,293.7
1,4,outer,fixed,293.7
1,5,outer,fixed,293.7
1,5,outer,fixed,293.7
1,6,outer,fixed,293.7
2,3,inner,congruent,640.8
2,1,inner,congruent,2253.9
2,4,inner,congruent,403.7
2,4,inner,congruent,320.4
2,3,inner,congruent,277.2
2,6,inner,congruent,623.3
2,5,inner,congruent,480
2,4,inner,congruent,719.2
2,4,inner,congruent,302.4
2,3,inner,congruent,233.1
2,4,inner,congruent,570.8
2,3,inner,congruent,938.6
2,5,inner,congruent,442
2,3,inner,congruent,185
2,4,inner,congruent,207.7
2,4,inner,congruent,381
2,3,inner,congruent,540.6
2,3,inner,congruent,246.9
2,5,inner,congruent,298.1
2,2,inner,congruent,87.5
2,4,inner,congruent,381
2,4,inner,congruent,416
2,4,inner,congruent,330.2
2,5,inner,congruent,588
2,4,inner,congruent,134.7
2,4,inner,congruent,415.3
2,5,inner,congruent,454.6
2,5,inner,congruent,132.8
2,5,inner,congruent,142.3
2,5,inner,congruent,95.6
2,5,inner,congruent,201.8
2,6,inner,congruent,315.8
2,5,inner,congruent,56.5
2,5,inner,congruent,131.4
2,5,inner,congruent,134.7
2,4,inner,congruent,170.3
2,5,inner,congruent,186.2
2,4,inner,congruent,169.7
2,4,inner,congruent,67.4
2,5,inner,congruent,84.9
2,5,inner,congruent,197.3
2,5,inner,congruent,169.7
2,5,inner,congruent,169.7
2,5,inner,congruent,93.9
2,5,inner,congruent,69.4
2,3,outer,congruent,591.3
2,2,outer,congruent,640.8
2,3,outer,congruent,640.8
2,3,outer,congruent,823.5
2,3,outer,congruent,623.3
2,2,outer,congruent,709
2,3,outer,congruent,440.7
2,3,outer,congruent,403.7
2,5,outer,congruent,179.8
2,4,outer,congruent,201.8
2,6,outer,congruent,226.5
2,5,outer,congruent,187.8
2,5,outer,congruent,197.3
2,6,outer,congruent,226.5
2,3,outer,congruent,320.4
2,2,outer,congruent,320.4
2,3,outer,congruent,226.5
2,4,outer,congruent,320.4
2,3,outer,congruent,171.4
2,4,outer,congruent,207.7
2,3,outer,congruent,95.2
2,4,outer,congruent,114.4
2,4,outer,congruent,106.9
2,4,outer,congruent,114.4
2,3,outer,congruent,77.9
2,5,outer,congruent,77.9
2,4,outer,congruent,77.9
2,5,outer,congruent,147.1
2,3,outer,congruent,360.8
2,3,outer,congruent,508.6
2,4,outer,congruent,320.4
2,3,outer,congruent,508.6
2,4,outer,congruent,179.8
2,5,outer,congruent,197.3
2,5,outer,congruent,174.6
2,5,outer,congruent,218.1
2,3,inner,incongruent,185
2,2,inner,incongruent,55
2,4,inner,incongruent,293.7
2,4,inner,incongruent,370
2,5,inner,incongruent,440
2,3,inner,incongruent,196
2,4,inner,incongruent,246.9
2,3,inner,incongruent,164.8
2,5,inner,incongruent,392
2,5,inner,incongruent,523.3
2,5,inner,incongruent,207.7
2,4,inner,incongruent,130.8
2,4,inner,incongruent,277.2
2,5,inner,incongruent,659.3
2,5,inner,incongruent,587.3
2,4,inner,incongruent,311.1
2,4,inner,incongruent,220
2,5,inner,incongruent,493.9
2,5,inner,incongruent,415.3
2,5,inner,incongruent,1396.9
2,4,inner,incongruent,311.1
2,5,inner,incongruent,293.7
2,4,inner,incongruent,370
2,4,inner,incongruent,207.7
2,5,inner,incongruent,880
2,5,inner,incongruent,293.7
2,5,inner,incongruent,261.6
2,5,inner,incongruent,932.3
2,4,inner,incongruent,880
2,5,inner,incongruent,1244.5
2,4,inner,incongruent,587.3
2,5,inner,incongruent,392
2,2,inner,incongruent,2217.5
2,4,inner,incongruent,932.3
2,5,inner,incongruent,880
2,4,inner,incongruent,698.5
2,5,inner,incongruent,659.3
2,5,inner,incongruent,698.5
2,1,inner,incongruent,1760
2,3,inner,incongruent,1396.9
2,5,inner,incongruent,622.3
2,5,inner,incongruent,698.5
2,5,inner,incongruent,698.5
2,3,inner,incongruent,1318.5
